X,Y,fid,NR,E,N,H,Aufnahmedatum,Abgabedatum,Bemerkungen,Wald/Gebüsch,Antennen,icon_url,Status
9.81445353035066,46.5792263359194,30,1360x156,2782085.85,1161418.24,2177.42,,,,,,./0.png,
9.80812468000809,46.5789959550848,31,1360x157,2781601.72,1161377.97,2036.94,,,,,,./0.png,
9.80246502298145,46.5799411637798,32,1360x158,2781164.92,1161469.91,2027.24,,,,,,./0.png,
9.79897739853739,46.5827212402101,33,1360x159,2780888.41,1161770.77,2047.06,,,,1,1,./0.png,
9.79649159220722,46.5840154739853,34,1360x160,2780693.64,1161908.85,2072.42,,,,,,./0.png,
9.79404446756377,46.5853074098566,35,1360x161,2780501.85,1162046.77,2135.87,,,,,,./0.png,
9.78904410934968,46.5879326370457,36,1360x162,2780110.03,1162326.98,2017.65,,,,,,./0.png,
9.7862308740681,46.5890384696747,37,1360x163,2779890.84,1162443.4,2037.64,,,,,,./0.png,
9.78172232423679,46.5908014861895,38,1360x164,2779539.61,1162628.97,1944.95,,,,,,./0.png,
9.77717837185441,46.5925856545635,39,1360x165,2779185.62,1162816.83,1870.08,,,,,,./0.png,
9.77275121048283,46.5936103749719,40,1360x166,2778843.11,1162920.59,1825.3,,,,,,./0.png,
9.77000392319077,46.5942464626487,41,1360x167,2778630.57,1162985.01,1843.88,,,,,1,./0.png,
9.7661114019789,46.5951503466882,42,1360x168,2778329.43,1163076.59,1847.55,,,,1,,./0.png,
9.76284639129999,46.59590970327,43,1360x169,2778076.84,1163153.55,1820.06,,,,,,./0.png,
9.76143525911489,46.5971928784998,44,1360x170,2777964.53,1163292.93,1786.93,,,,1,,./0.png,
9.75831544596768,46.6000591632157,45,1360x171,2777716.15,1163604.35,1687.32,,,,1,,./0.png,
9.75700552590245,46.6029459977168,46,1360x172,2777606.34,1163922.16,1665.52,,,,,,./0.png,
9.75600321746085,46.605174445083,47,1360x173,2777522.26,1164167.51,1577.08,,,,1,,./0.png,
9.75760111567244,46.6072839536378,48,1360x174,2777637.7,1164405.53,1569.39,,,,1,,./0.png,
9.75925123222935,46.6094661730752,49,1360x175,2777756.89,1164651.75,1561.88,,,,1,,./0.png,
9.75997697556954,46.6129791799303,50,1360x176,2777800.91,1165043.75,1534.46,,,,1,1,./0.png,
9.76060407031518,46.6160391804802,51,1360x177,2777838.86,1165385.19,1529.11,,,,,,./0.png,
9.75788780452595,46.6200750469667,52,1360x178,2777617.62,1165827.49,1555.97,2024/08/30,,,,,./1.png,aufgenommen
9.75833931401935,46.6247172372524,53,1360x179,2777636.93,1166344.34,1526.95,2024/08/30,,,,,./1.png,aufgenommen
9.75869730278224,46.6283571677772,54,1360x180,2777652.37,1166749.61,1537.3,2024/08/30,,,,,./1.png,aufgenommen
9.76275710025821,46.6329991837302,55,1360x181,2777947.86,1167274.62,1515.44,2024/07/03,,,,,./1.png,aufgenommen
9.75932580604945,46.6365687257868,56,1360x182,2777673.48,1167663.48,1677.45,2024/07/03,,,,,./1.png,aufgenommen
9.75601154468614,46.6373916507282,57,1360x183,2777417.11,1167747.42,1689.33,2024/07/03,,,,,./1.png,aufgenommen
9.75241192273353,46.6382868726763,58,1360x184,2777138.67,1167838.76,1652.52,2024/08/30,,,,,./1.png,aufgenommen
9.74829848849588,46.6400878481167,59,1360x185,2776817.95,1168029.6,1620.74,,,,,,./0.png,
9.74457463965885,46.6417131203368,60,1360x186,2776527.64,1168201.81,1574.34,,,,,,./0.png,
9.74020819784857,46.6418326939263,61,1360x187,2776193.08,1168205.28,1472.75,,,,1,,./0.png,
9.73618283525813,46.6419412580991,62,1360x188,2775884.66,1168208.31,1355.32,,,,,,./0.png,
9.73218583637424,46.6442596298543,63,1360x189,2775571.23,1168456.97,1284.76,2024/07/17,,,1,,./1.png,aufgenommen
9.72817442863689,46.6465758937616,64,1360x190,2775256.73,1168705.38,1266.42,2024/07/17,,,,,./1.png,aufgenommen
9.72536850121863,46.648198165606,65,1360x191,2775036.75,1168879.38,1290.86,2024/07/17,,,,,./1.png,aufgenommen
9.72309932967785,46.6496213318717,66,1360x192,2774858.5,1169032.46,1273.51,2024/08/30,,,1,,./1.png,aufgenommen
9.71678331693446,46.6534544147679,67,1360x193,2774362.82,1169444.33,1131.79,2024/08/30,,,,,./1.png,aufgenommen
9.71304026512186,46.6547881421686,68,1360x194,2774072.12,1169584.22,1076.05,2024/03/22,,,,,./1.png,aufgenommen
